description,attack_vector,complexity,severity,label
path disclosure in debug mode in legacy module.,PHYSICAL,HIGH,LOW,0
path disclosure in debug mode discovered in beta branch.,ADJACENT,MEDIUM,LOW,0
unsupported cipher suites discovered in beta branch.,ADJACENT,LOW,LOW,0
path disclosure in debug mode affects version 2.0.,ADJACENT,LOW,LOW,0
cookie without secure flag affects version 2.0.,LOCAL,MEDIUM,LOW,0
unsupported cipher suites in legacy module.,ADJACENT,HIGH,LOW,0
unsupported cipher suites exists in core component.,PHYSICAL,LOW,LOW,0
server version disclosure exists in core component.,ADJACENT,MEDIUM,LOW,0
cookie without secure flag affects version 2.0.,PHYSICAL,HIGH,LOW,0
cookie without secure flag discovered in beta branch.,ADJACENT,LOW,LOW,0
cookie without secure flag discovered in beta branch.,ADJACENT,MEDIUM,LOW,0
unsupported cipher suites discovered in beta branch.,NETWORK,LOW,LOW,0
path disclosure in debug mode exists in core component.,ADJACENT,LOW,LOW,0
path disclosure in debug mode exists in core component.,LOCAL,MEDIUM,LOW,0
cookie without secure flag exists in core component.,LOCAL,MEDIUM,LOW,0
server version disclosure discovered in beta branch.,ADJACENT,HIGH,LOW,0
unsupported cipher suites exists in core component.,NETWORK,HIGH,LOW,0
path disclosure in debug mode affects version 2.0.,PHYSICAL,HIGH,LOW,0
path disclosure in debug mode exists in core component.,NETWORK,MEDIUM,LOW,0
server version disclosure affects version 2.0.,ADJACENT,LOW,LOW,0
path disclosure in debug mode in legacy module.,PHYSICAL,LOW,LOW,0
path disclosure in debug mode in legacy module.,PHYSICAL,LOW,LOW,0
path disclosure in debug mode discovered in beta branch.,ADJACENT,HIGH,LOW,0
unsupported cipher suites discovered in beta branch.,LOCAL,HIGH,LOW,0
server version disclosure in legacy module.,ADJACENT,LOW,LOW,0
unsupported cipher suites discovered in beta branch.,NETWORK,LOW,LOW,0
path disclosure in debug mode affects version 2.0.,ADJACENT,HIGH,LOW,0
cookie without secure flag exists in core component.,PHYSICAL,MEDIUM,LOW,0
unsupported cipher suites discovered in beta branch.,LOCAL,LOW,LOW,0
unsupported cipher suites in legacy module.,ADJACENT,LOW,LOW,0
unsupported cipher suites exists in core component.,PHYSICAL,HIGH,LOW,0
path disclosure in debug mode exists in core component.,ADJACENT,LOW,LOW,0
server version disclosure in legacy module.,ADJACENT,LOW,LOW,0
path disclosure in debug mode discovered in beta branch.,PHYSICAL,HIGH,LOW,0
unsupported cipher suites discovered in beta branch.,PHYSICAL,HIGH,LOW,0
server version disclosure affects version 2.0.,LOCAL,MEDIUM,LOW,0
unsupported cipher suites in legacy module.,ADJACENT,MEDIUM,LOW,0
path disclosure in debug mode discovered in beta branch.,LOCAL,LOW,LOW,0
server version disclosure in legacy module.,PHYSICAL,MEDIUM,LOW,0
server version disclosure exists in core component.,ADJACENT,HIGH,LOW,0
cookie without secure flag affects version 2.0.,PHYSICAL,MEDIUM,LOW,0
server version disclosure discovered in beta branch.,LOCAL,HIGH,LOW,0
server version disclosure affects version 2.0.,ADJACENT,HIGH,LOW,0
server version disclosure exists in core component.,NETWORK,HIGH,LOW,0
cookie without secure flag affects version 2.0.,NETWORK,MEDIUM,LOW,0
cookie without secure flag exists in core component.,NETWORK,HIGH,LOW,0
unsupported cipher suites discovered in beta branch.,NETWORK,MEDIUM,LOW,0
unsupported cipher suites exists in core component.,PHYSICAL,LOW,LOW,0
path disclosure in debug mode exists in core component.,NETWORK,LOW,LOW,0
unsupported cipher suites in legacy module.,LOCAL,MEDIUM,LOW,0
unsupported cipher suites exists in core component.,NETWORK,LOW,LOW,0
server version disclosure affects version 2.0.,NETWORK,HIGH,LOW,0
unsupported cipher suites exists in core component.,ADJACENT,MEDIUM,LOW,0
server version disclosure affects version 2.0.,LOCAL,MEDIUM,LOW,0
cookie without secure flag exists in core component.,NETWORK,HIGH,LOW,0
server version disclosure affects version 2.0.,PHYSICAL,MEDIUM,LOW,0
server version disclosure affects version 2.0.,PHYSICAL,HIGH,LOW,0
unsupported cipher suites exists in core component.,NETWORK,MEDIUM,LOW,0
cookie without secure flag exists in core component.,LOCAL,MEDIUM,LOW,0
cookie without secure flag in legacy module.,ADJACENT,MEDIUM,LOW,0
server version disclosure discovered in beta branch.,LOCAL,HIGH,LOW,0
path disclosure in debug mode discovered in beta branch.,ADJACENT,MEDIUM,LOW,0
cookie without secure flag affects version 2.0.,LOCAL,HIGH,LOW,0
unsupported cipher suites in legacy module.,PHYSICAL,MEDIUM,LOW,0
path disclosure in debug mode exists in core component.,ADJACENT,MEDIUM,LOW,0
server version disclosure in legacy module.,ADJACENT,MEDIUM,LOW,0
path disclosure in debug mode discovered in beta branch.,LOCAL,MEDIUM,LOW,0
unsupported cipher suites exists in core component.,PHYSICAL,LOW,LOW,0
path disclosure in debug mode in legacy module.,PHYSICAL,MEDIUM,LOW,0
path disclosure in debug mode affects version 2.0.,ADJACENT,MEDIUM,LOW,0
cookie without secure flag in legacy module.,LOCAL,LOW,LOW,0
path disclosure in debug mode in legacy module.,ADJACENT,MEDIUM,LOW,0
unsupported cipher suites in legacy module.,NETWORK,HIGH,LOW,0
path disclosure in debug mode affects version 2.0.,NETWORK,HIGH,LOW,0
path disclosure in debug mode exists in core component.,ADJACENT,HIGH,LOW,0
server version disclosure exists in core component.,ADJACENT,LOW,LOW,0
cookie without secure flag affects version 2.0.,ADJACENT,HIGH,LOW,0
path disclosure in debug mode affects version 2.0.,NETWORK,MEDIUM,LOW,0
cookie without secure flag affects version 2.0.,LOCAL,HIGH,LOW,0
server version disclosure exists in core component.,PHYSICAL,HIGH,LOW,0
server version disclosure affects version 2.0.,NETWORK,LOW,LOW,0
path disclosure in debug mode affects version 2.0.,PHYSICAL,HIGH,LOW,0
cookie without secure flag in legacy module.,ADJACENT,HIGH,LOW,0
cookie without secure flag affects version 2.0.,ADJACENT,HIGH,LOW,0
unsupported cipher suites discovered in beta branch.,PHYSICAL,LOW,LOW,0
unsupported cipher suites discovered in beta branch.,NETWORK,LOW,LOW,0
path disclosure in debug mode discovered in beta branch.,PHYSICAL,MEDIUM,LOW,0
unsupported cipher suites exists in core component.,LOCAL,HIGH,LOW,0
unsupported cipher suites exists in core component.,ADJACENT,HIGH,LOW,0
unsupported cipher suites exists in core component.,LOCAL,MEDIUM,LOW,0
path disclosure in debug mode affects version 2.0.,NETWORK,HIGH,LOW,0
unsupported cipher suites affects version 2.0.,NETWORK,LOW,LOW,0
unsupported cipher suites discovered in beta branch.,ADJACENT,HIGH,LOW,0
cookie without secure flag affects version 2.0.,ADJACENT,HIGH,LOW,0
path disclosure in debug mode discovered in beta branch.,ADJACENT,HIGH,LOW,0
path disclosure in debug mode exists in core component.,LOCAL,LOW,LOW,0
path disclosure in debug mode in legacy module.,LOCAL,LOW,LOW,0
server version disclosure discovered in beta branch.,LOCAL,HIGH,LOW,0
path disclosure in debug mode in legacy module.,NETWORK,HIGH,LOW,0
unsupported cipher suites discovered in beta branch.,PHYSICAL,LOW,LOW,0
unsupported cipher suites exists in core component.,PHYSICAL,LOW,LOW,0
cookie without secure flag in legacy module.,ADJACENT,MEDIUM,LOW,0
cookie without secure flag exists in core component.,NETWORK,MEDIUM,LOW,0
cookie without secure flag discovered in beta branch.,NETWORK,HIGH,LOW,0
unsupported cipher suites affects version 2.0.,PHYSICAL,HIGH,LOW,0
server version disclosure in legacy module.,ADJACENT,LOW,LOW,0
path disclosure in debug mode in legacy module.,PHYSICAL,LOW,LOW,0
cookie without secure flag in legacy module.,LOCAL,LOW,LOW,0
cookie without secure flag exists in core component.,NETWORK,LOW,LOW,0
unsupported cipher suites in legacy module.,LOCAL,HIGH,LOW,0
server version disclosure in legacy module.,NETWORK,MEDIUM,LOW,0
unsupported cipher suites affects version 2.0.,ADJACENT,HIGH,LOW,0
cookie without secure flag exists in core component.,LOCAL,HIGH,LOW,0
unsupported cipher suites affects version 2.0.,LOCAL,MEDIUM,LOW,0
server version disclosure discovered in beta branch.,ADJACENT,LOW,LOW,0
unsupported cipher suites discovered in beta branch.,PHYSICAL,HIGH,LOW,0
unsupported cipher suites exists in core component.,LOCAL,HIGH,LOW,0
unsupported cipher suites exists in core component.,ADJACENT,MEDIUM,LOW,0
server version disclosure in legacy module.,ADJACENT,MEDIUM,LOW,0
cookie without secure flag exists in core component.,ADJACENT,MEDIUM,LOW,0
path disclosure in debug mode in legacy module.,NETWORK,MEDIUM,LOW,0
cookie without secure flag exists in core component.,NETWORK,LOW,LOW,0
server version disclosure in legacy module.,LOCAL,LOW,LOW,0
server version disclosure discovered in beta branch.,ADJACENT,HIGH,LOW,0
path disclosure in debug mode discovered in beta branch.,PHYSICAL,MEDIUM,LOW,0
unsupported cipher suites discovered in beta branch.,PHYSICAL,MEDIUM,LOW,0
unsupported cipher suites exists in core component.,NETWORK,LOW,LOW,0
cookie without secure flag in legacy module.,LOCAL,LOW,LOW,0
path disclosure in debug mode affects version 2.0.,LOCAL,MEDIUM,LOW,0
cookie without secure flag exists in core component.,LOCAL,LOW,LOW,0
unsupported cipher suites exists in core component.,ADJACENT,MEDIUM,LOW,0
server version disclosure affects version 2.0.,ADJACENT,HIGH,LOW,0
cookie without secure flag exists in core component.,ADJACENT,LOW,LOW,0
path disclosure in debug mode exists in core component.,LOCAL,MEDIUM,LOW,0
cookie without secure flag in legacy module.,ADJACENT,LOW,LOW,0
server version disclosure discovered in beta branch.,LOCAL,LOW,LOW,0
server version disclosure affects version 2.0.,LOCAL,MEDIUM,LOW,0
path disclosure in debug mode affects version 2.0.,PHYSICAL,HIGH,LOW,0
cookie without secure flag in legacy module.,ADJACENT,HIGH,LOW,0
unsupported cipher suites affects version 2.0.,NETWORK,HIGH,LOW,0
cookie without secure flag discovered in beta branch.,LOCAL,LOW,LOW,0
cookie without secure flag in legacy module.,ADJACENT,MEDIUM,LOW,0
cookie without secure flag affects version 2.0.,PHYSICAL,MEDIUM,LOW,0
server version disclosure in legacy module.,PHYSICAL,HIGH,LOW,0
server version disclosure in legacy module.,LOCAL,HIGH,LOW,0
path disclosure in debug mode in legacy module.,NETWORK,LOW,LOW,0
cookie without secure flag discovered in beta branch.,NETWORK,LOW,LOW,0
cookie without secure flag discovered in beta branch.,NETWORK,HIGH,LOW,0
path disclosure in debug mode in legacy module.,LOCAL,MEDIUM,LOW,0
unsupported cipher suites in legacy module.,LOCAL,HIGH,LOW,0
server version disclosure in legacy module.,NETWORK,LOW,LOW,0
unsupported cipher suites in legacy module.,PHYSICAL,HIGH,LOW,0
server version disclosure discovered in beta branch.,ADJACENT,MEDIUM,LOW,0
unsupported cipher suites discovered in beta branch.,NETWORK,MEDIUM,LOW,0
server version disclosure exists in core component.,PHYSICAL,HIGH,LOW,0
unsupported cipher suites affects version 2.0.,ADJACENT,HIGH,LOW,0
server version disclosure exists in core component.,NETWORK,HIGH,LOW,0
unsupported cipher suites affects version 2.0.,NETWORK,LOW,LOW,0
unsupported cipher suites affects version 2.0.,NETWORK,HIGH,LOW,0
server version disclosure affects version 2.0.,NETWORK,MEDIUM,LOW,0
server version disclosure in legacy module.,LOCAL,MEDIUM,LOW,0
server version disclosure in legacy module.,NETWORK,LOW,LOW,0
cookie without secure flag in legacy module.,ADJACENT,MEDIUM,LOW,0
unsupported cipher suites exists in core component.,ADJACENT,HIGH,LOW,0
path disclosure in debug mode affects version 2.0.,ADJACENT,MEDIUM,LOW,0
path disclosure in debug mode exists in core component.,NETWORK,LOW,LOW,0
server version disclosure affects version 2.0.,NETWORK,LOW,LOW,0
unsupported cipher suites in legacy module.,LOCAL,HIGH,LOW,0
cookie without secure flag discovered in beta branch.,NETWORK,LOW,LOW,0
server version disclosure affects version 2.0.,PHYSICAL,MEDIUM,LOW,0
unsupported cipher suites discovered in beta branch.,PHYSICAL,HIGH,LOW,0
cookie without secure flag exists in core component.,ADJACENT,LOW,LOW,0
unsupported cipher suites affects version 2.0.,ADJACENT,HIGH,LOW,0
path disclosure in debug mode discovered in beta branch.,LOCAL,HIGH,LOW,0
server version disclosure exists in core component.,LOCAL,HIGH,LOW,0
cookie without secure flag affects version 2.0.,PHYSICAL,LOW,LOW,0
cookie without secure flag discovered in beta branch.,ADJACENT,MEDIUM,LOW,0
path disclosure in debug mode in legacy module.,LOCAL,HIGH,LOW,0
server version disclosure discovered in beta branch.,NETWORK,LOW,LOW,0
path disclosure in debug mode discovered in beta branch.,PHYSICAL,LOW,LOW,0
cookie without secure flag in legacy module.,PHYSICAL,LOW,LOW,0
server version disclosure discovered in beta branch.,NETWORK,LOW,LOW,0
cookie without secure flag in legacy module.,ADJACENT,MEDIUM,LOW,0
path disclosure in debug mode discovered in beta branch.,LOCAL,HIGH,LOW,0
cookie without secure flag in legacy module.,NETWORK,MEDIUM,LOW,0
path disclosure in debug mode in legacy module.,LOCAL,HIGH,LOW,0
unsupported cipher suites exists in core component.,PHYSICAL,HIGH,LOW,0
server version disclosure exists in core component.,LOCAL,HIGH,LOW,0
path disclosure in debug mode in legacy module.,NETWORK,MEDIUM,LOW,0
server version disclosure exists in core component.,ADJACENT,MEDIUM,LOW,0
cookie without secure flag in legacy module.,PHYSICAL,LOW,LOW,0
cookie without secure flag affects version 2.0.,NETWORK,MEDIUM,LOW,0
server version disclosure in legacy module.,NETWORK,MEDIUM,LOW,0
server version disclosure affects version 2.0.,NETWORK,MEDIUM,LOW,0
path disclosure in debug mode affects version 2.0.,LOCAL,HIGH,LOW,0
cookie without secure flag discovered in beta branch.,PHYSICAL,HIGH,LOW,0
unsupported cipher suites exists in core component.,LOCAL,LOW,LOW,0
path disclosure in debug mode affects version 2.0.,LOCAL,HIGH,LOW,0
path disclosure in debug mode in legacy module.,PHYSICAL,MEDIUM,LOW,0
cookie without secure flag exists in core component.,ADJACENT,LOW,LOW,0
cookie without secure flag in legacy module.,PHYSICAL,MEDIUM,LOW,0
server version disclosure exists in core component.,LOCAL,MEDIUM,LOW,0
cookie without secure flag in legacy module.,LOCAL,MEDIUM,LOW,0
server version disclosure exists in core component.,ADJACENT,LOW,LOW,0
cookie without secure flag in legacy module.,PHYSICAL,HIGH,LOW,0
unsupported cipher suites in legacy module.,ADJACENT,HIGH,LOW,0
server version disclosure affects version 2.0.,PHYSICAL,HIGH,LOW,0
cookie without secure flag exists in core component.,LOCAL,MEDIUM,LOW,0
unsupported cipher suites affects version 2.0.,NETWORK,MEDIUM,LOW,0
server version disclosure discovered in beta branch.,NETWORK,HIGH,LOW,0
unsupported cipher suites in legacy module.,NETWORK,LOW,LOW,0
server version disclosure discovered in beta branch.,LOCAL,HIGH,LOW,0
unsupported cipher suites exists in core component.,ADJACENT,HIGH,LOW,0
cookie without secure flag discovered in beta branch.,LOCAL,HIGH,LOW,0
server version disclosure affects version 2.0.,ADJACENT,HIGH,LOW,0
cookie without secure flag exists in core component.,NETWORK,MEDIUM,LOW,0
unsupported cipher suites affects version 2.0.,LOCAL,MEDIUM,LOW,0
path disclosure in debug mode discovered in beta branch.,NETWORK,HIGH,LOW,0
cookie without secure flag exists in core component.,NETWORK,MEDIUM,LOW,0
server version disclosure affects version 2.0.,ADJACENT,MEDIUM,LOW,0
unsupported cipher suites affects version 2.0.,LOCAL,HIGH,LOW,0
server version disclosure affects version 2.0.,PHYSICAL,LOW,LOW,0
server version disclosure discovered in beta branch.,NETWORK,HIGH,LOW,0
unsupported cipher suites in legacy module.,LOCAL,LOW,LOW,0
server version disclosure discovered in beta branch.,PHYSICAL,MEDIUM,LOW,0
cookie without secure flag exists in core component.,NETWORK,HIGH,LOW,0
unsupported cipher suites discovered in beta branch.,LOCAL,MEDIUM,LOW,0
path disclosure in debug mode affects version 2.0.,NETWORK,LOW,LOW,0
server version disclosure in legacy module.,NETWORK,MEDIUM,LOW,0
unsupported cipher suites in legacy module.,ADJACENT,LOW,LOW,0
cookie without secure flag in legacy module.,NETWORK,HIGH,LOW,0
unsupported cipher suites in legacy module.,PHYSICAL,MEDIUM,LOW,0
cookie without secure flag affects version 2.0.,PHYSICAL,MEDIUM,LOW,0
server version disclosure discovered in beta branch.,NETWORK,HIGH,LOW,0
server version disclosure exists in core component.,ADJACENT,MEDIUM,LOW,0
unsupported cipher suites discovered in beta branch.,ADJACENT,LOW,LOW,0
